id,price_1,date_1,price_2,date_2,perc_change_p2_to_p1,days_between_sale,trans_time,ln_price_1,ln_price_2,epc_100,epc_rating_a,epc_rating_b,epc_rating_c,epc_rating_d,epc_rating_e,epc_rating_f,epc_rating_g,ln_epc_100,imd_score,imd_level,income_score,income_level,emp_score,emp_level,educ_score,educ_level,health_score,health_level,crime_score,crime_level,barrier_score,barrier_level,living_score,living_level,reg_north_east,reg_north_west,reg_yorkshire_and_the_humber,reg_east_midlands,reg_west_midlands,reg_east_of_england,reg_london,reg_south_east,reg_south_west
1,95000,04-06-2003,124950,06-10-2010,0.315263158,2681,82.14702475,11.46163217,11.73566894,60,0,0,0,1,0,0,0,4.094344562,24734,8,26464,9,31605,10,22428,7,23496,8,19105,6,21533,7,4552,2,0,0,1,0,0,0,0,0,0
2,37750,30-06-2000,55000,19-06-2009,0.456953642,3276,90.37505737,10.53874075,10.91508846,57,0,0,0,1,0,0,0,4.043051268,5884,2,5071,2,4629,2,2883,1,7707,3,9130,3,16650,6,20507,7,0,0,0,0,1,0,0,0,0
3,106000,21-03-2003,120000,02-07-2010,0.132075472,2660,81.83956952,11.57119437,11.69524702,77,0,0,1,0,0,0,0,4.343805422,19694,6,22109,7,24335,8,11065,4,21699,7,12995,4,12565,4,13416,5,0,0,0,0,0,0,0,0,1
4,51000,20-07-2000,102500,20-07-2010,1.009803922,3652,95.16618651,10.83958091,11.53761808,73,0,0,1,0,0,0,0,4.290459441,16230,5,17391,6,17370,6,11771,4,14090,5,12771,4,12879,4,16024,5,0,0,0,0,0,0,0,0,1
5,200000,11-06-2007,205000,09-10-2009,0.025,851,47.3083653,12.20607265,12.23076526,80,0,0,1,0,0,0,0,4.382026635,13896,5,10504,4,15258,5,19657,6,23376,8,12125,4,3064,1,18058,6,0,0,0,0,0,0,1,0,0
6,170000,05-10-2001,285000,28-10-2011,0.676470588,3675,95.45049126,12.04355372,12.56024446,62,0,0,0,1,0,0,0,4.127134385,4685,2,4210,2,6613,3,18308,6,5979,2,956,1,5502,2,5228,2,0,0,0,0,0,0,1,0,0
7,81000,27-04-2007,80500,13-06-2008,-0.00617284,413,33.19619408,11.30220443,11.29601246,62,0,0,0,1,0,0,0,4.127134385,12578,4,9947,4,9980,4,13065,4,6261,2,29003,9,18642,6,20837,7,1,0,0,0,0,0,0,0,0
8,154000,09-07-2004,185000,16-08-2010,0.201298701,2229,75.21646482,11.94470788,12.1281111,52,0,0,0,0,1,0,0,3.951243719,6454,2,3526,2,7238,3,17721,6,14038,5,9781,3,1957,1,7960,3,0,0,0,0,0,0,1,0,0
9,404000,21-05-2003,500000,14-10-2009,0.237623762,2338,76.95195271,12.90917016,13.12236338,67,0,0,0,1,0,0,0,4.204692619,12809,4,10594,4,23155,8,28638,9,17470,6,3640,2,10769,4,2447,1,0,0,0,0,0,0,1,0,0
10,154000,09-07-2004,185000,16-08-2010,0.201298701,2229,75.21646482,11.94470788,12.1281111,52,0,0,0,0,1,0,0,3.951243719,6454,2,3526,2,7238,3,17721,6,14038,5,9781,3,1957,1,7960,3,0,0,0,0,0,0,1,0,0
11,154000,09-07-2004,185000,16-08-2010,0.201298701,2229,75.21646482,11.94470788,12.1281111,52,0,0,0,0,1,0,0,3.951243719,6454,2,3526,2,7238,3,17721,6,14038,5,9781,3,1957,1,7960,3,0,0,0,0,0,0,1,0,0
12,85000,31-10-2003,92000,11-09-2009,0.082352941,2142,73.79837869,11.35040654,11.42954386,33,0,0,0,0,0,1,0,3.496507561,14673,5,12604,4,9446,3,13580,5,17837,6,12685,4,28456,9,16096,5,0,0,0,1,0,0,0,0,0
13,97500,25-11-2005,75000,18-10-2011,-0.230769231,2153,73.97935886,11.48760766,11.22524339,51,0,0,0,0,1,0,0,3.931825633,9771,3,9081,3,6449,2,10161,4,4611,2,20796,7,17314,6,25415,8,1,0,0,0,0,0,0,0,0
14,97500,25-11-2005,75000,18-10-2011,-0.230769231,2153,73.97935886,11.48760766,11.22524339,51,0,0,0,0,1,0,0,3.931825633,9771,3,9081,3,6449,2,10161,4,4611,2,20796,7,17314,6,25415,8,1,0,0,0,0,0,0,0,0
15,250000,18-12-2006,287500,27-01-2012,0.15,1866,69.08307988,12.4292162,12.56897814,63,0,0,0,1,0,0,0,4.143134726,12197,4,11373,4,15501,5,19938,7,9896,4,8057,3,11018,4,6792,3,0,0,0,0,0,0,1,0,0
16,185000,05-10-2009,227500,21-05-2010,0.22972973,228,24.66935352,12.1281111,12.33490552,79,0,0,1,0,0,0,0,4.369447852,13043,4,20572,7,12219,4,29216,9,13820,5,4573,2,2209,1,14700,5,0,0,0,0,0,0,1,0,0
17,75000,24-11-2010,85000,09-11-2011,0.133333333,350,30.57960768,11.22524339,11.35040654,68,0,0,0,1,0,0,0,4.219507705,4289,2,4980,2,4712,2,4261,2,2829,1,17525,6,11486,4,2952,1,0,0,0,0,0,1,0,0,0
18,168000,01-02-2006,183000,05-03-2010,0.089285714,1493,62.07119917,12.03171926,12.11724143,60,0,0,0,1,0,0,0,4.094344562,17661,6,13050,4,16802,6,12086,4,21383,7,20133,7,13375,5,24318,8,0,0,0,0,0,0,0,1,0
