id,log_change,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012
1,0.27403677,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0
2,0.37634771,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0
3,0.12405265,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0
4,0.69803717,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0
5,0.02469261,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
6,0.51669074,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0
7,-0.00619197,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0
8,0.18340322,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
9,0.21319322,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
10,0.18340322,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
11,0.18340322,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
12,0.07913732,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
13,-0.26236427,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
14,-0.26236427,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
15,0.13976194,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1
16,0.20679442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0
17,0.12516315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
18,0.08552217,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
19,-0.02564243,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
20,-0.13238919,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
21,0.41985385,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
23,0.3001046,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
24,0.3142491,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
25,0.40796824,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
26,0.49691319,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
27,0.20692071,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
28,0.73900264,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0
29,0.06214821,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0
30,-0.07166698,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
31,0.11778304,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0
32,0.8577843,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0
33,0.99967234,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
34,0.22677332,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
35,0.78717613,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0
36,-0.06169357,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
37,0.03798163,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
38,0.37223946,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0
39,0.37223946,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0
40,-0.19375025,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
41,0.37844043,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
42,-0.62610765,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0
43,0.03738753,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0
44,0.20763936,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0
45,0.14981228,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
46,0.33343887,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
47,0.53134535,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
48,0.85483243,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,0.11020314,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
50,0.93521874,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0
51,0.91979336,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,0.5091,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
53,0.761973367,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1
54,0.36054342,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
55,0.03974033,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
56,0.36054342,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
57,0.10414026,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0
58,0.36564361,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0
59,-0.04879017,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
60,1.16658527,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,-0.13762137,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
62,-0.13762137,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
63,0.15897552,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
64,-0.29546421,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
65,0.20318281,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0
66,0.13977444,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
67,0.13977444,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
68,0.13977444,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
69,-0.32606978,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
70,-0.32606978,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
71,0.26826398,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0
72,1.39759392,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,0.75888691,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,0.25489225,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
75,0.27820333,0,,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0
76,0.35427686,0,,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0
77,0.2595112,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0
78,0.01169604,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0
79,0,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0
80,0.33343887,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
81,0.64568065,0,,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,0.63487827,0,,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0
83,0.07534944,0,,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0
84,-0.45198512,0,,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0
85,0.12188982,0,,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0
86,0.05129329,0,,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
87,0.00816331,0,,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0
88,-0.28172514,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0
89,0.31015492,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0
90,-0.15264579,0,,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0
91,0.01930875,0,,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0
92,0.8873032,0,,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0
93,0.75377181,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
